track_name,artist,track_pop,artist_pop,duration,danceability,energy,acousticness,instrumentalness,liveness,valence,link
You Shook Me All Night Long,AC/DC,83,84,3.502883333333333,0.532,0.767,0.00287,0.000513,0.39,0.755,open.spotify.com/track/2SiXAy7TuUkycRVbbWDEpo
Jailbreak,AC/DC,64,84,4.682666666666667,0.572,0.835,0.00953,0.0144,0.012,0.591,open.spotify.com/track/5UKeFkVeUfvP6S43I8s9mt
Shoot to Thrill,AC/DC,61,84,5.296666666666667,0.453,0.897,0.000358,0.0956,0.365,0.492,open.spotify.com/track/6GzCkTddOn1vSln1gbSr8y
Let There Be Rock,AC/DC,42,84,6.1071,0.32,0.719,0.000218,0.57,0.0597,0.402,open.spotify.com/track/7pZYTjl0SQhdsi5qsWS8Q0
It's a Long Way to the Top (If You Wanna Rock 'N' Roll) - Original Australian Release,AC/DC,41,84,5.2091,0.43,0.881,0.212,0.00348,0.045,0.489,open.spotify.com/track/4jD93WpDpa7BjRlfG46hxl
Dirty Deeds Done Dirt Cheap,AC/DC,77,84,3.86555,0.668,0.906,0.214,0.00245,0.135,0.507,open.spotify.com/track/2d4e45fmUnguxh6yqC7gNT
Rock and Roll Ain't Noise Pollution,AC/DC,66,84,4.434,0.576,0.659,0.041,0.0,0.0587,0.717,open.spotify.com/track/6J17MkMmuzBiIOjRH6MOBZ
High Voltage,AC/DC,63,84,4.236666666666666,0.561,0.785,0.0282,0.451,0.0615,0.546,open.spotify.com/track/5pLgH1bCkBV3bbmvm0qvom
For Those About to Rock (We Salute You),AC/DC,68,84,5.737333333333333,0.37,0.919,0.000376,0.419,0.49,0.471,open.spotify.com/track/17lu4tymfnhmcIDlzBbtAb
Hells Bells,AC/DC,76,84,5.204883333333333,0.389,0.873,0.00532,0.0055,0.273,0.303,open.spotify.com/track/69QHm3pustz01CJRwdo20z
Love Me Do - Mono / Remastered,The Beatles,0,88,2.3362166666666666,0.524,0.88,0.404,0.000191,0.154,0.758,open.spotify.com/track/5JT7CoUSGNk7mMNkHMQjqr
From Me To You - Mono / Remastered,The Beatles,0,88,1.936,0.581,0.821,0.507,0.0,0.108,0.968,open.spotify.com/track/2Q2Gu7Bv8iLenuygtBgDUw
She Loves You - Mono / Remastered,The Beatles,0,88,2.3486666666666665,0.377,0.916,0.26,0.0,0.074,0.912,open.spotify.com/track/2Fk411Ix3qnMG8t8Qa74ZX
I Want To Hold Your Hand - Remastered 2015,The Beatles,0,88,2.4291,0.49,0.715,0.386,0.0,0.311,0.866,open.spotify.com/track/4DRBaZ760gyk7LWnaJFqsJ
Can't Buy Me Love - Remastered 2015,The Beatles,0,88,2.1868833333333333,0.426,0.76,0.118,0.0,0.325,0.955,open.spotify.com/track/7pQAq14Z73YUFMtxCyt0bG
A Hard Day's Night - Remastered 2015,The Beatles,0,88,2.5486666666666666,0.546,0.818,0.0487,0.0,0.0983,0.756,open.spotify.com/track/0mNQUZEATk2uItMUtiLWK5
I Feel Fine - Remastered 2015,The Beatles,0,88,2.322433333333333,0.564,0.827,0.0904,3.73e-06,0.127,0.912,open.spotify.com/track/0Gm34HBxrXlaAf1jdJMjx2
Eight Days A Week - Remastered 2015,The Beatles,0,88,2.722,0.636,0.677,0.265,0.0,0.215,0.837,open.spotify.com/track/3nhJDVdUrm6DnDW4iBfpKz
Help! - Remastered 2015,The Beatles,0,88,2.320666666666667,0.602,0.736,0.149,0.0,0.0776,0.819,open.spotify.com/track/1dfuJYDSIc41cw5RPsaCF1
Yesterday - Remastered 2015,The Beatles,0,88,2.0886666666666667,0.401,0.189,0.871,0.0,0.0968,0.357,open.spotify.com/track/63uskN0xLezVg4281wzeQn
Day Tripper - Remastered 2015,The Beatles,0,88,2.816666666666667,0.665,0.782,0.12,4.19e-06,0.125,0.731,open.spotify.com/track/0vXGSlE4ft3n5JHZMHHSIj
We Can Work It Out - Remastered 2015,The Beatles,0,88,2.26155,0.378,0.677,0.0635,0.0,0.183,0.648,open.spotify.com/track/0Lckblu9CJUXOeMV0XY3b9
Eleanor Rigby - Remastered 2015,The Beatles,0,88,2.097766666666667,0.605,0.314,0.916,0.0,0.359,0.836,open.spotify.com/track/0TRkjwb4uY3CHb5zhr9bBd
Penny Lane - Remastered 2015,The Beatles,0,88,3.0086666666666666,0.679,0.592,0.0964,0.0138,0.16,0.55,open.spotify.com/track/5Kw6fC8wyRgMYfBDtEklYM
All You Need Is Love - Remastered 2015,The Beatles,0,88,3.796,0.397,0.625,0.437,5.47e-06,0.263,0.676,open.spotify.com/track/56rXurvdpjoSIVggfd5ANS
"Hello, Goodbye - Remastered 2015",The Beatles,0,88,3.4631,0.498,0.806,0.402,5.74e-06,0.525,0.664,open.spotify.com/track/0wFW5NQJdNDJPcZyfYSExx
Lady Madonna - Remastered 2015,The Beatles,0,88,2.2804333333333333,0.65,0.777,0.141,0.343,0.215,0.574,open.spotify.com/track/3yf4uaeB2ibXSIPbfUYC2k
Hey Jude - Remastered 2015,The Beatles,0,88,7.094216666666667,0.386,0.607,0.0112,1.38e-05,0.088,0.532,open.spotify.com/track/3H7sv3Krffn15BufUuXzf3
Get Back - Remastered 2015,The Beatles,0,88,3.1962166666666665,0.703,0.636,0.186,0.0256,0.0959,0.218,open.spotify.com/track/4ajbplh2IXiJkXjQiq5aqq
Something - Remastered 2015,The Beatles,0,88,3.02355,0.449,0.375,0.302,2.41e-06,0.144,0.466,open.spotify.com/track/6Y6UBWhifUnkJIO2mdy0S3
Come Together - Remastered 2015,The Beatles,0,88,4.31155,0.559,0.343,0.0601,0.138,0.1,0.183,open.spotify.com/track/7iABnSNZciNepqGtjMQxxd
Let It Be - Remastered 2015,The Beatles,0,88,3.8406666666666665,0.445,0.436,0.58,2.63e-05,0.112,0.483,open.spotify.com/track/22QadBPe0QCuqraFVAr1m3
Oh! Darling - Remastered,The Beatles,0,88,3.454,0.422,0.656,0.0126,0.0279,0.268,0.549,open.spotify.com/track/59CLXQLZKxRPzMW8S8Gt9N
Octopus's Garden - Remastered,The Beatles,0,88,2.8453333333333335,0.626,0.512,0.155,4.65e-05,0.215,0.73,open.spotify.com/track/254ujtd5Avf5mwBET7FASI
Here Comes The Sun - Remastered,The Beatles,0,88,3.09555,0.557,0.54,0.0339,0.00248,0.179,0.394,open.spotify.com/track/45yEy5WJywhJ3sDI28ajTm
Across The Universe - Remastered,The Beatles,0,88,3.802216666666667,0.257,0.412,0.361,8.68e-05,0.0702,0.858,open.spotify.com/track/72Ob0wrObCXgvGYhFs8vip
Dear Prudence - Remastered,The Beatles,0,88,3.92955,0.388,0.529,0.16,0.0681,0.108,0.332,open.spotify.com/track/1yHA33jt0HwbcH3GdOcuiQ
While My Guitar Gently Weeps - Remastered,The Beatles,0,88,4.75,0.453,0.654,0.0205,0.00395,0.172,0.702,open.spotify.com/track/4J4gApJKSC0himDViFotdy
Blackbird - Remastered,The Beatles,0,88,2.306433333333333,0.686,0.127,0.754,1.41e-05,0.0573,0.372,open.spotify.com/track/4Z92RMiyJpUrApZi3LtpJ6
Helter Skelter - Remastered,The Beatles,0,88,4.496433333333333,0.166,0.831,0.000606,0.846,0.811,0.281,open.spotify.com/track/5MF8YFuVlKhMgzUe21zm0R
Sgt. Pepper's Lonely Hearts Club Band - Remastered,The Beatles,0,88,2.048216666666667,0.451,0.673,0.0857,0.00225,0.797,0.583,open.spotify.com/track/2v0fKNEQwzUuol9VImFuOu
With A Little Help From My Friends - Remastered,The Beatles,0,88,2.7351,0.705,0.515,0.365,0.0,0.389,0.803,open.spotify.com/track/0TKiASulg0H5ZKkkqZNTdm
Lucy In The Sky With Diamonds - Remastered,The Beatles,0,88,3.4744333333333333,0.311,0.325,0.0469,0.0,0.139,0.668,open.spotify.com/track/3FCnUhO6ao6hFRgCLPkSUE
A Day In The Life - Remastered,The Beatles,0,88,5.62355,0.364,0.457,0.29,0.000106,0.922,0.175,open.spotify.com/track/3ZFBeIyP41HhnALjxWy1pR
Drive My Car - Remastered,The Beatles,0,88,2.48155,0.754,0.571,0.0173,0.0,0.3,0.82,open.spotify.com/track/02wfEb4PyvM4XvsqDNtqVm
Norwegian Wood (This Bird Has Flown) - Remastered,The Beatles,0,88,2.0782166666666666,0.425,0.369,0.183,0.00126,0.112,0.65,open.spotify.com/track/4DE42oDol0KHxympBsaiYu
In My Life - Remastered,The Beatles,0,88,2.4388833333333335,0.688,0.435,0.449,0.0,0.113,0.435,open.spotify.com/track/5QqdvVeYLL1xvZ1ndUjxnO
Ticket To Ride - Remastered,The Beatles,0,88,3.1613333333333333,0.519,0.85,0.0457,0.0,0.233,0.749,open.spotify.com/track/2zO5cQdHLBOPlnQqWeNCFM
I've Just Seen A Face - Remastered,The Beatles,0,88,2.084,0.647,0.56,0.723,0.0,0.118,0.913,open.spotify.com/track/67VdmhC89bZ6yK2XRys0lA
It Won't Be Long - Remastered,The Beatles,0,88,2.2231,0.472,0.673,0.284,0.0,0.206,0.862,open.spotify.com/track/5tNjuWwp6FxuWCrKQAMBTj
Please Mister Postman - Remastered,The Beatles,0,88,2.5693333333333332,0.552,0.644,0.675,0.0,0.36,0.961,open.spotify.com/track/5IIBY9M2GxHcVja6DA6wsF
Hold Me Tight - Remastered,The Beatles,0,88,2.5317666666666665,0.54,0.744,0.664,0.0,0.21,0.963,open.spotify.com/track/6xJSJpO6HJwHhu7UaIc8qR
I Saw Her Standing There - Remastered,The Beatles,0,88,2.8991,0.491,0.801,0.27,0.0,0.0665,0.971,open.spotify.com/track/63nTBScSLXWwyeizXi9Rmi
Please Please Me - Remastered,The Beatles,0,88,2.0142166666666665,0.527,0.48,0.334,0.0,0.0702,0.706,open.spotify.com/track/2Iccm3cKBQHWt5yk0yX9nh
Do You Want To Know A Secret - Remastered,The Beatles,0,88,1.9502166666666667,0.673,0.349,0.608,0.0,0.38,0.609,open.spotify.com/track/5FBxWhG0nbBAF6lWgJFklM
Twist And Shout - Remastered,The Beatles,0,88,2.5871,0.482,0.849,0.641,7.74e-06,0.0414,0.937,open.spotify.com/track/4Z1fbYp0HuxLBje4MOZcSD
Everlong,Foo Fighters,86,84,4.175766666666667,0.413,0.881,5.99e-05,0.000308,0.0805,0.364,open.spotify.com/track/5UWwZ5lm5PKu6eKsHAGxOk
The Pretender,Foo Fighters,83,84,4.48955,0.433,0.959,0.000917,0.0,0.028,0.365,open.spotify.com/track/7x8dCjCr0x6x2lXKujYD34
The Sky Is A Neighborhood,Foo Fighters,72,84,4.076216666666666,0.357,0.549,0.000798,0.00485,0.22,0.531,open.spotify.com/track/3kdMzXOcrDIdSWLdONHNK5
Best of You,Foo Fighters,81,84,4.260433333333333,0.366,0.94,0.000769,9.42e-05,0.188,0.369,open.spotify.com/track/5FZxsHWIvUsmSK1IAvm2pp
Learn to Fly,Foo Fighters,81,84,3.92155,0.465,0.919,1.83e-05,2.07e-05,0.262,0.537,open.spotify.com/track/5OQsiBsky2k2kDKy2bX2eT
Run,Foo Fighters,68,84,5.38955,0.365,0.892,3.31e-05,0.0948,0.751,0.176,open.spotify.com/track/1wLQwg0mloy3yXjL0jPE0N
Dear Rosemary,Foo Fighters,63,84,4.442216666666667,0.514,0.864,2.05e-05,7.27e-05,0.313,0.698,open.spotify.com/track/6HeFCUg1F1v0bnE3JFTlxz
These Days,Foo Fighters,71,84,4.9711,0.531,0.664,0.000261,0.0,0.205,0.215,open.spotify.com/track/2kN05N1AQQplsgFweFAqYb
Walk,Foo Fighters,76,84,4.266,0.234,0.865,3.62e-05,0.000532,0.289,0.194,open.spotify.com/track/76Je5Wklky23mVoxiRszcN
Rope,Foo Fighters,0,84,4.3171,0.511,0.728,2.52e-05,7.41e-05,0.0725,0.541,open.spotify.com/track/54hKdgpetDyrGQEAQwrnPQ
This Is a Call,Foo Fighters,69,84,3.8893333333333335,0.261,0.964,0.00141,2.87e-05,0.183,0.326,open.spotify.com/track/2wO8aOvN1ogLy1N8XT1WJE
Big Me,Foo Fighters,68,84,2.214,0.579,0.708,0.442,0.0,0.11,0.846,open.spotify.com/track/6pb5BBnIM5IM7R1cqag6rE
All My Life,Foo Fighters,60,84,4.392666666666667,0.585,0.599,0.000214,0.000871,0.492,0.667,open.spotify.com/track/2HbVINmehEbPmjlcueXEJJ
My Hero,Foo Fighters,63,84,4.316216666666667,0.364,0.925,6.01e-05,0.000251,0.0603,0.301,open.spotify.com/track/7u5dBtASrtOuBTTZjJrvuJ
Monkey Wrench,Foo Fighters,57,84,3.8471,0.395,0.941,2.13e-05,0.000238,0.268,0.681,open.spotify.com/track/43TxY9bYSyZ4QRPA0UJddL
Times Like These,Foo Fighters,62,84,4.466216666666667,0.36,0.905,1.37e-05,7.51e-06,0.0753,0.309,open.spotify.com/track/4xanWVQIzdCf51mg8cd1cQ
Breakout,Foo Fighters,55,84,3.3471,0.421,0.938,5.81e-05,0.00409,0.147,0.482,open.spotify.com/track/3Y8X0tMSEKZt7rOHDwCrtt
Wheels,Foo Fighters,71,84,4.6368833333333335,0.426,0.792,0.000495,5.1e-06,0.142,0.557,open.spotify.com/track/3KsatAMRt1a7iryhWt5I8U
Jump - 2015 Remaster,Van Halen,81,75,4.02665,0.572,0.835,0.171,0.000377,0.0702,0.795,open.spotify.com/track/7N3PAbqfTjSEU1edb2tY8j
Panama - 2015 Remaster,Van Halen,76,75,3.5037666666666665,0.526,0.978,0.00122,4.75e-05,0.0744,0.451,open.spotify.com/track/05RgAMGypEvqhNs5hPCbMS
Runnin' with the Devil - 2015 Remaster,Van Halen,72,75,3.582666666666667,0.472,0.9,0.148,0.000297,0.34,0.42,open.spotify.com/track/3KhF2YiNpJvGpfiCW45R6D
Hot for Teacher - 2015 Remaster,Van Halen,71,75,4.712433333333333,0.552,0.947,0.000652,0.00025,0.0637,0.465,open.spotify.com/track/6QDbGdbJ57Mtkflsg42WV5
You Really Got Me - 2015 Remaster,Van Halen,70,75,2.6024333333333334,0.454,0.946,0.0223,0.0,0.173,0.647,open.spotify.com/track/0upLyFR8Rr52ZpMp5esQoq
Ain't Talkin' 'Bout Love,Van Halen,46,75,3.7828833333333334,0.498,0.887,0.00392,0.000376,0.21,0.714,open.spotify.com/track/0ddmUcKR9WjqmaT4FlhMNU
Dance the Night Away,Van Halen,43,75,3.1611,0.527,0.89,0.0644,0.0,0.0472,0.681,open.spotify.com/track/7E8sTX79VcbCaWnCu3jsko
Eruption,Van Halen,50,75,1.70955,0.149,0.757,0.457,0.858,0.341,0.521,open.spotify.com/track/3lW0MLws0srqqR3DRRPLZp
Why Can't This Be Love,Van Halen,42,75,3.518,0.466,0.696,0.0253,0.0,0.489,0.681,open.spotify.com/track/7AZ7Pc8CNzgxd8hZCPefgD
Can't Stop Lovin' You,Van Halen,42,75,4.124433333333333,0.592,0.898,0.143,2.31e-06,0.229,0.537,open.spotify.com/track/5tpYQWjPJmPeBgGAn55rc0
316,Van Halen,34,75,1.4948833333333333,0.623,0.0335,0.886,0.707,0.0963,0.229,open.spotify.com/track/33qwYfoMm6xqbmGLFUIopa
Top of the World,Van Halen,43,75,3.8811,0.544,0.795,0.027,2.43e-06,0.0918,0.791,open.spotify.com/track/30IBbNzTzqPyYU2VxFtHRs
Love Walks In - 2004 Remaster,Van Halen,27,75,5.193766666666667,0.327,0.716,0.195,0.0,0.0794,0.296,open.spotify.com/track/1xIZonNhFX3kvYYBedx69u
Right Now - 2004 Remaster,Van Halen,29,75,5.376666666666667,0.47,0.873,0.176,0.00219,0.0907,0.255,open.spotify.com/track/1YNbsFolfQRy9c5ypU7tuU
Everybody Wants Some!! - 2004 Remaster,Van Halen,29,75,5.15,0.508,0.822,0.0676,0.0217,0.125,0.493,open.spotify.com/track/58u7QHx8UqAU6R0qFpK57c
Wish You Were Here,Pink Floyd,79,82,5.57905,0.481,0.262,0.735,0.0114,0.832,0.375,open.spotify.com/track/6mFkJmJqdDVQ1REhVfGgd1
Comfortably Numb,Pink Floyd,76,82,6.3716,0.472,0.366,0.15,0.312,0.0837,0.171,open.spotify.com/track/5HNCy40Ni5BZJFw1TKzRsC
Money,Pink Floyd,75,82,6.380566666666667,0.468,0.536,0.024,0.00199,0.269,0.785,open.spotify.com/track/0vFOzaXqZHahrZp6enQwQb
Time,Pink Floyd,74,82,6.899116666666667,0.359,0.48,0.521,0.0043,0.178,0.355,open.spotify.com/track/3TO7bbrUKrOSPGRTB5MeCz
Speak to Me,Pink Floyd,62,82,1.0885666666666667,0.592,0.0195,0.361,0.839,0.108,0.0313,open.spotify.com/track/574y1r7o2tRA009FW0LE7v
Breathe (In the Air),Pink Floyd,73,82,2.8255666666666666,0.431,0.373,0.389,0.728,0.143,0.253,open.spotify.com/track/2ctvdKmETyOzPb2GiJJT53
On the Run,Pink Floyd,63,82,3.7564,0.389,0.563,0.65,0.903,0.104,0.134,open.spotify.com/track/73OIUNKRi2y24Cu9cOLrzM
The Great Gig in the Sky,Pink Floyd,68,82,4.7312,0.274,0.217,0.767,0.896,0.0832,0.181,open.spotify.com/track/2TjdnqlpwOjhijHCwHCP2d
Us and Them,Pink Floyd,68,82,7.8204,0.357,0.302,0.862,0.559,0.634,0.135,open.spotify.com/track/1TKTiKp3zbNgrBH2IwSwIx
Any Colour You Like,Pink Floyd,64,82,3.4404833333333333,0.277,0.672,0.197,0.936,0.423,0.505,open.spotify.com/track/6FBPOJLxUZEair6x4kLDhf
Brain Damage,Pink Floyd,69,82,3.7777666666666665,0.324,0.265,0.0732,0.341,0.366,0.208,open.spotify.com/track/05uGBKRCuePsf43Hfm0JwX
Eclipse,Pink Floyd,64,82,2.173783333333333,0.359,0.577,0.0589,0.751,0.0686,0.141,open.spotify.com/track/1tDWVeCR9oWGX8d5J9rswk
"Another Brick in the Wall, Pt. 1",Pink Floyd,66,82,3.2024166666666667,0.613,0.0457,0.937,0.642,0.0991,0.093,open.spotify.com/track/7K6xMPtAjTuLPNlJMLf5bS
